,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SBR File
11,2.0,2.0,1.0,14.0,0.0,11.0,2.0,2.0,0.0,2.0,15.0,16.0,16.0,17.0,16.0,8.0,0.0,1.0,7.0,345.0,41.0,228.0,80.0,110.0,80.0,112.0,147.0,77.0,70.0,8.0,8.0,10.0,3.0,3.0,0.35,34.0,34.0,38.0,17.0,1
12,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,6.0,61.0,10.0,31.0,14.0,7.0,20.0,16.0,21.0,14.0,7.0,1.0,1.0,1.0,1.0,0.0,0.65,4.0,4.0,4.0,4.0,0
13,2.0,2.0,1.0,13.0,0.0,10.0,2.0,2.0,2.0,11.0,27.0,35.0,33.0,10.0,35.0,0.0,0.0,3.0,32.0,562.0,67.0,347.0,122.0,158.0,148.0,165.0,236.0,121.0,115.0,13.0,13.0,16.0,8.0,3.0,0.43,67.0,67.0,73.0,34.0,1
14,1.0,1.0,1.0,14.0,0.0,11.0,2.0,1.0,0.0,0.0,6.0,8.0,8.0,4.0,8.0,0.0,1.0,1.0,6.0,133.0,13.0,91.0,32.0,38.0,29.0,44.0,57.0,33.0,24.0,4.0,4.0,4.0,1.0,3.0,0.32,11.0,11.0,11.0,6.0,1
15,1.0,1.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,16.0,16.0,16.0,5.0,16.0,0.0,0.0,3.0,13.0,128.0,20.0,90.0,35.0,22.0,19.0,28.0,48.0,29.0,19.0,2.0,2.0,2.0,1.0,1.0,0.21,18.0,18.0,18.0,16.0,0
16,3.0,3.0,2.0,18.0,2.0,15.0,0.0,2.0,3.0,4.0,13.0,26.0,23.0,0.0,26.0,6.0,0.0,9.0,11.0,356.0,57.0,241.0,96.0,148.0,60.0,149.0,192.0,96.0,96.0,9.0,9.0,11.0,7.0,2.0,0.25,44.0,44.0,50.0,27.0,1
17,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,64.0,9.0,34.0,12.0,6.0,21.0,10.0,18.0,12.0,6.0,1.0,1.0,1.0,1.0,0.0,0.62,7.0,7.0,7.0,7.0,0
18,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,72.0,73.0,73.0,2.0,73.0,0.0,1.0,6.0,66.0,677.0,82.0,569.0,180.0,192.0,26.0,170.0,322.0,141.0,181.0,7.0,7.0,7.0,7.0,2.0,0.05,122.0,122.0,122.0,78.0,0
19,1.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,7.0,5.0,0.0,5.0,0.0,1.0,0.0,4.0,59.0,6.0,26.0,11.0,7.0,27.0,9.0,14.0,11.0,3.0,2.0,2.0,3.0,1.0,0.0,1.04,7.0,7.0,8.0,6.0,1
20,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,17.0,17.0,15.0,3.0,15.0,0.0,0.0,2.0,13.0,168.0,25.0,112.0,37.0,45.0,31.0,38.0,58.0,33.0,25.0,4.0,4.0,5.0,3.0,1.0,0.28,22.0,22.0,25.0,19.0,0
21,2.0,2.0,1.0,15.0,1.0,12.0,0.0,3.0,1.0,0.0,26.0,27.0,24.0,3.0,25.0,0.0,2.0,10.0,13.0,388.0,62.0,296.0,92.0,159.0,30.0,154.0,215.0,110.0,105.0,7.0,7.0,8.0,3.0,3.0,0.1,61.0,61.0,65.0,30.0,0
22,1.0,1.0,1.0,6.0,0.0,5.0,1.0,2.0,5.0,5.0,57.0,59.0,50.0,3.0,55.0,6.0,3.0,14.0,32.0,530.0,59.0,347.0,125.0,115.0,126.0,128.0,199.0,98.0,101.0,5.0,5.0,5.0,5.0,2.0,0.36,74.0,74.0,77.0,61.0,0
23,1.0,1.0,1.0,7.0,0.0,5.0,2.0,1.0,0.0,0.0,36.0,40.0,40.0,1.0,40.0,2.0,0.0,8.0,30.0,418.0,45.0,254.0,124.0,91.0,119.0,95.0,142.0,86.0,56.0,2.0,2.0,2.0,1.0,1.0,0.47,46.0,46.0,46.0,36.0,0
24,1.0,1.0,1.0,7.0,0.0,4.0,3.0,1.0,0.0,0.0,31.0,32.0,32.0,0.0,32.0,1.0,0.0,1.0,30.0,325.0,36.0,167.0,72.0,31.0,122.0,40.0,72.0,41.0,31.0,1.0,1.0,1.0,1.0,0.0,0.73,31.0,31.0,31.0,31.0,0
25,1.0,1.0,1.0,7.0,0.0,5.0,1.0,2.0,0.0,0.0,9.0,8.0,10.0,6.0,10.0,0.0,0.0,4.0,6.0,155.0,26.0,64.0,20.0,25.0,66.0,24.0,37.0,16.0,21.0,3.0,2.0,3.0,1.0,1.0,1.03,14.0,13.0,14.0,9.0,0
26,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,15.0,15.0,12.0,12.0,15.0,1.0,1.0,0.0,13.0,172.0,25.0,127.0,54.0,46.0,21.0,69.0,89.0,54.0,35.0,3.0,3.0,3.0,1.0,1.0,0.17,19.0,19.0,19.0,15.0,0
27,1.0,1.0,1.0,5.0,0.0,5.0,0.0,4.0,1.0,0.0,16.0,16.0,15.0,4.0,16.0,0.0,1.0,1.0,14.0,162.0,22.0,110.0,36.0,29.0,30.0,33.0,56.0,32.0,24.0,6.0,4.0,6.0,6.0,2.0,0.27,21.0,19.0,21.0,21.0,1
28,1.0,1.0,1.0,6.0,0.0,6.0,0.0,4.0,2.0,0.0,21.0,21.0,19.0,9.0,21.0,3.0,1.0,2.0,15.0,222.0,29.0,164.0,56.0,61.0,29.0,60.0,109.0,62.0,47.0,4.0,4.0,4.0,4.0,2.0,0.18,39.0,39.0,39.0,29.0,0
29,1.0,2.0,1.0,9.0,0.0,6.0,2.0,1.0,0.0,0.0,8.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,8.0,125.0,13.0,65.0,22.0,26.0,47.0,28.0,44.0,21.0,23.0,8.0,8.0,9.0,8.0,2.0,0.72,15.0,15.0,16.0,15.0,0
30,1.0,2.0,1.0,9.0,0.0,8.0,1.0,8.0,2.0,10.0,47.0,53.0,51.0,44.0,53.0,1.0,22.0,16.0,14.0,832.0,122.0,503.0,173.0,218.0,220.0,234.0,330.0,154.0,176.0,7.0,7.0,8.0,5.0,3.0,0.44,91.0,91.0,95.0,60.0,0
31,1.0,1.0,1.0,10.0,0.0,8.0,2.0,3.0,7.0,1.0,29.0,29.0,19.0,4.0,26.0,0.0,7.0,6.0,13.0,398.0,55.0,237.0,81.0,96.0,106.0,99.0,145.0,75.0,70.0,5.0,5.0,5.0,4.0,4.0,0.45,48.0,48.0,48.0,34.0,0
32,7.0,13.0,7.0,26.0,2.0,24.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,67.0,5.0,31.0,14.0,21.0,31.0,18.0,26.0,13.0,13.0,7.0,7.0,13.0,7.0,1.0,1.0,7.0,7.0,13.0,7.0,1
33,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,8.0,67.0,9.0,41.0,14.0,9.0,17.0,12.0,21.0,12.0,9.0,1.0,1.0,1.0,1.0,0.0,0.41,8.0,8.0,8.0,8.0,0
34,2.0,2.0,1.0,14.0,1.0,10.0,3.0,10.0,1.0,2.0,60.0,60.0,59.0,15.0,60.0,11.0,5.0,4.0,40.0,1152.0,164.0,710.0,168.0,333.0,286.0,252.0,402.0,135.0,267.0,15.0,15.0,17.0,15.0,3.0,0.4,157.0,151.0,169.0,112.0,0
35,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,66.0,7.0,42.0,20.0,11.0,17.0,23.0,29.0,20.0,9.0,3.0,3.0,3.0,1.0,2.0,0.4,5.0,5.0,5.0,3.0,0
36,1.0,1.0,1.0,6.0,0.0,6.0,0.0,8.0,1.0,3.0,30.0,32.0,30.0,10.0,31.0,5.0,0.0,2.0,24.0,290.0,48.0,222.0,69.0,80.0,20.0,87.0,136.0,70.0,66.0,7.0,7.0,8.0,3.0,3.0,0.09,44.0,44.0,46.0,34.0,0
37,1.0,2.0,1.0,9.0,0.0,8.0,0.0,4.0,0.0,0.0,18.0,22.0,22.0,13.0,22.0,0.0,3.0,9.0,10.0,252.0,36.0,186.0,57.0,74.0,30.0,85.0,119.0,54.0,65.0,3.0,3.0,4.0,3.0,2.0,0.16,30.0,30.0,36.0,26.0,1
38,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,1.0,9.0,0.0,0.0,1.0,8.0,74.0,10.0,47.0,15.0,11.0,17.0,16.0,27.0,16.0,11.0,2.0,2.0,2.0,1.0,1.0,0.36,10.0,10.0,10.0,9.0,0
39,1.0,2.0,1.0,8.0,0.0,7.0,0.0,3.0,1.0,0.0,27.0,28.0,27.0,15.0,28.0,2.0,3.0,3.0,20.0,322.0,49.0,251.0,73.0,121.0,22.0,121.0,171.0,72.0,99.0,6.0,6.0,9.0,3.0,1.0,0.09,52.0,49.0,62.0,29.0,1
40,1.0,1.0,1.0,10.0,0.0,8.0,1.0,4.0,1.0,1.0,31.0,32.0,29.0,12.0,30.0,7.0,1.0,3.0,19.0,451.0,57.0,317.0,101.0,131.0,78.0,140.0,197.0,94.0,103.0,8.0,8.0,9.0,4.0,3.0,0.25,57.0,57.0,61.0,39.0,1
41,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,0.0,0.0,9.0,10.0,10.0,5.0,10.0,0.0,0.0,2.0,8.0,121.0,16.0,74.0,33.0,23.0,31.0,32.0,43.0,26.0,17.0,2.0,2.0,2.0,1.0,1.0,0.42,10.0,10.0,10.0,9.0,0
42,2.0,3.0,1.0,13.0,1.0,11.0,1.0,2.0,0.0,1.0,9.0,10.0,9.0,8.0,9.0,2.0,1.0,1.0,5.0,205.0,31.0,142.0,61.0,59.0,32.0,81.0,103.0,59.0,44.0,7.0,7.0,8.0,4.0,2.0,0.23,23.0,23.0,27.0,12.0,0
43,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,2.0,6.0,0.0,0.0,1.0,5.0,61.0,8.0,35.0,15.0,6.0,19.0,9.0,16.0,10.0,6.0,2.0,2.0,2.0,1.0,0.0,0.54,7.0,7.0,7.0,6.0,0
44,1.0,1.0,1.0,10.0,0.0,9.0,0.0,2.0,0.0,1.0,7.0,7.0,6.0,4.0,6.0,0.0,1.0,2.0,3.0,124.0,14.0,93.0,48.0,38.0,17.0,43.0,54.0,38.0,16.0,3.0,3.0,3.0,3.0,2.0,0.18,9.0,9.0,9.0,9.0,0
45,1.0,1.0,1.0,6.0,0.0,5.0,0.0,11.0,2.0,2.0,78.0,81.0,76.0,21.0,78.0,7.0,1.0,1.0,69.0,641.0,77.0,474.0,145.0,203.0,91.0,213.0,334.0,155.0,179.0,13.0,13.0,14.0,6.0,4.0,0.19,120.0,120.0,126.0,89.0,0
46,2.0,2.0,1.0,12.0,0.0,10.0,1.0,3.0,5.0,1.0,30.0,33.0,28.0,8.0,33.0,4.0,1.0,3.0,25.0,521.0,59.0,363.0,131.0,145.0,102.0,139.0,206.0,109.0,97.0,5.0,5.0,6.0,4.0,3.0,0.28,61.0,61.0,67.0,33.0,1
47,2.0,2.0,1.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,18.0,18.0,13.0,0.0,13.0,0.0,1.0,0.0,12.0,237.0,23.0,192.0,43.0,104.0,22.0,79.0,123.0,45.0,78.0,14.0,14.0,14.0,5.0,4.0,0.11,44.0,44.0,48.0,26.0,1
48,2.0,2.0,1.0,10.0,0.0,9.0,0.0,4.0,1.0,0.0,42.0,48.0,47.0,22.0,48.0,0.0,9.0,11.0,28.0,611.0,85.0,460.0,115.0,191.0,68.0,177.0,262.0,102.0,160.0,10.0,10.0,14.0,5.0,4.0,0.15,89.0,89.0,97.0,53.0,1
49,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,1.0,9.0,10.0,6.0,5.0,8.0,2.0,2.0,4.0,0.0,123.0,16.0,81.0,37.0,33.0,26.0,38.0,50.0,36.0,14.0,3.0,3.0,3.0,3.0,3.0,0.32,12.0,12.0,13.0,11.0,0
50,2.0,2.0,1.0,12.0,0.0,9.0,2.0,1.0,0.0,1.0,14.0,17.0,16.0,11.0,16.0,0.0,0.0,12.0,4.0,275.0,30.0,168.0,57.0,69.0,78.0,84.0,108.0,52.0,56.0,5.0,5.0,7.0,5.0,2.0,0.46,28.0,28.0,31.0,18.0,0
51,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0.0,2.0,7.0,7.0,7.0,3.0,7.0,0.0,1.0,2.0,4.0,95.0,11.0,67.0,27.0,31.0,18.0,34.0,48.0,26.0,22.0,3.0,3.0,3.0,1.0,2.0,0.27,13.0,13.0,13.0,7.0,0
52,1.0,1.0,1.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,13.0,31.0,31.0,7.0,31.0,8.0,1.0,1.0,21.0,209.0,38.0,135.0,73.0,31.0,36.0,75.0,95.0,66.0,29.0,3.0,3.0,3.0,3.0,2.0,0.27,17.0,17.0,19.0,15.0,0
53,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,1.0,6.0,0.0,0.0,1.0,5.0,77.0,11.0,45.0,16.0,11.0,21.0,15.0,23.0,15.0,8.0,2.0,2.0,2.0,1.0,1.0,0.47,8.0,8.0,8.0,6.0,0
54,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,3.0,0.0,16.0,16.0,13.0,0.0,16.0,1.0,1.0,1.0,13.0,172.0,23.0,124.0,44.0,47.0,26.0,48.0,72.0,36.0,36.0,5.0,5.0,7.0,3.0,1.0,0.21,25.0,25.0,28.0,20.0,0
55,1.0,1.0,1.0,7.0,0.0,6.0,0.0,14.0,1.0,0.0,62.0,72.0,71.0,24.0,72.0,1.0,3.0,20.0,48.0,681.0,122.0,518.0,147.0,218.0,42.0,210.0,321.0,152.0,169.0,7.0,6.0,10.0,7.0,3.0,0.08,103.0,101.0,108.0,70.0,1
56,1.0,2.0,1.0,8.0,0.0,7.0,1.0,2.0,0.0,2.0,17.0,17.0,17.0,4.0,17.0,4.0,1.0,0.0,12.0,231.0,30.0,144.0,44.0,53.0,57.0,51.0,82.0,37.0,45.0,4.0,4.0,5.0,4.0,2.0,0.4,32.0,32.0,35.0,26.0,0
57,1.0,1.0,1.0,7.0,0.0,5.0,1.0,2.0,3.0,0.0,67.0,68.0,64.0,7.0,67.0,1.0,0.0,2.0,64.0,627.0,83.0,380.0,114.0,133.0,166.0,130.0,214.0,111.0,103.0,5.0,5.0,7.0,3.0,2.0,0.44,90.0,90.0,98.0,69.0,1
58,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,30.0,2.0,11.0,4.0,1.0,17.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.55,2.0,2.0,2.0,2.0,0
59,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,7.0,9.0,0.0,0.0,1.0,8.0,90.0,12.0,61.0,27.0,14.0,17.0,25.0,35.0,21.0,14.0,1.0,1.0,1.0,1.0,0.0,0.28,9.0,9.0,9.0,9.0,0
60,1.0,1.0,1.0,10.0,1.0,8.0,0.0,7.0,0.0,0.0,18.0,24.0,24.0,4.0,24.0,5.0,0.0,3.0,16.0,252.0,43.0,175.0,67.0,67.0,34.0,73.0,107.0,66.0,41.0,6.0,6.0,9.0,4.0,2.0,0.19,29.0,29.0,32.0,24.0,1
61,2.0,2.0,1.0,15.0,1.0,11.0,3.0,1.0,0.0,2.0,15.0,17.0,17.0,11.0,17.0,0.0,1.0,7.0,9.0,354.0,45.0,224.0,86.0,89.0,85.0,104.0,143.0,81.0,62.0,7.0,7.0,7.0,3.0,3.0,0.38,38.0,38.0,39.0,17.0,1
62,1.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,42.0,4.0,18.0,6.0,6.0,20.0,6.0,10.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,1.11,3.0,3.0,4.0,2.0,0
63,1.0,1.0,1.0,10.0,0.0,7.0,1.0,3.0,0.0,2.0,14.0,14.0,14.0,4.0,14.0,0.0,1.0,0.0,13.0,169.0,15.0,104.0,24.0,45.0,50.0,38.0,60.0,30.0,30.0,7.0,7.0,11.0,6.0,3.0,0.48,21.0,21.0,25.0,19.0,0
64,1.0,2.0,1.0,9.0,0.0,8.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,4.0,75.0,8.0,44.0,16.0,15.0,23.0,19.0,29.0,17.0,12.0,4.0,4.0,5.0,1.0,3.0,0.52,7.0,7.0,8.0,4.0,1
65,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,34.0,4.0,13.0,6.0,3.0,17.0,4.0,7.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.31,2.0,2.0,2.0,2.0,0
66,1.0,2.0,1.0,10.0,0.0,9.0,0.0,8.0,5.0,5.0,81.0,79.0,69.0,25.0,74.0,2.0,2.0,0.0,70.0,1127.0,128.0,879.0,323.0,397.0,122.0,373.0,527.0,300.0,227.0,12.0,12.0,16.0,6.0,4.0,0.14,150.0,149.0,162.0,92.0,1
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,16.0,0.0,16.0,1.0,0.0,0.0,15.0,60.0,10.0,26.0,24.0,1.0,24.0,21.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,1
68,1.0,1.0,1.0,11.0,1.0,10.0,0.0,51.0,4.0,21.0,92.0,92.0,88.0,32.0,92.0,1.0,0.0,0.0,91.0,1013.0,144.0,745.0,137.0,386.0,124.0,273.0,404.0,205.0,199.0,4.0,4.0,5.0,3.0,2.0,0.17,128.0,128.0,135.0,96.0,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,63.0,6.0,15.0,11.0,0.0,42.0,9.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0
70,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,1.0,6.0,6.0,6.0,1.0,6.0,1.0,0.0,1.0,4.0,75.0,10.0,47.0,17.0,15.0,18.0,22.0,30.0,18.0,12.0,2.0,2.0,2.0,1.0,1.0,0.38,7.0,7.0,7.0,6.0,0
71,1.0,1.0,1.0,7.0,0.0,6.0,0.0,4.0,0.0,0.0,35.0,35.0,35.0,16.0,35.0,0.0,4.0,6.0,25.0,439.0,69.0,274.0,107.0,86.0,96.0,101.0,152.0,74.0,78.0,4.0,4.0,5.0,3.0,2.0,0.35,49.0,49.0,52.0,41.0,0
72,1.0,1.0,1.0,7.0,0.0,6.0,0.0,8.0,2.0,3.0,21.0,21.0,19.0,7.0,21.0,0.0,1.0,1.0,19.0,283.0,28.0,174.0,56.0,74.0,81.0,64.0,90.0,50.0,40.0,4.0,2.0,4.0,1.0,1.0,0.47,30.0,24.0,30.0,21.0,0
73,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,7.0,7.0,7.0,2.0,7.0,0.0,0.0,1.0,6.0,94.0,11.0,57.0,27.0,15.0,26.0,22.0,30.0,22.0,8.0,1.0,1.0,1.0,1.0,0.0,0.46,7.0,7.0,7.0,7.0,0
74,3.0,4.0,2.0,20.0,2.0,17.0,0.0,1.0,0.0,5.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,3.0,146.0,17.0,102.0,46.0,53.0,28.0,63.0,78.0,44.0,34.0,5.0,5.0,6.0,4.0,2.0,0.27,14.0,14.0,16.0,10.0,0
75,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,9.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,78.0,13.0,48.0,19.0,8.0,17.0,15.0,26.0,19.0,7.0,1.0,1.0,1.0,1.0,0.0,0.35,9.0,9.0,9.0,9.0,1
76,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,71.0,11.0,43.0,15.0,6.0,17.0,9.0,20.0,14.0,6.0,1.0,1.0,1.0,1.0,0.0,0.4,10.0,10.0,10.0,10.0,0
77,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,36.0,5.0,13.0,6.0,1.0,18.0,4.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,1.38,2.0,2.0,2.0,2.0,0
78,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,47.0,8.0,22.0,11.0,3.0,17.0,6.0,13.0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,0.77,6.0,6.0,6.0,6.0,0
79,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,2.0,42.0,5.0,20.0,7.0,5.0,17.0,8.0,12.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,0.85,3.0,3.0,3.0,3.0,0
80,2.0,2.0,1.0,11.0,1.0,9.0,0.0,2.0,0.0,2.0,13.0,13.0,11.0,6.0,11.0,2.0,2.0,0.0,7.0,223.0,36.0,160.0,73.0,71.0,27.0,86.0,116.0,69.0,47.0,9.0,9.0,12.0,1.0,3.0,0.17,29.0,29.0,35.0,13.0,0
81,2.0,2.0,1.0,10.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,8.0,132.0,17.0,94.0,32.0,36.0,21.0,41.0,62.0,30.0,32.0,7.0,7.0,9.0,1.0,3.0,0.22,19.0,19.0,22.0,8.0,0
